EPIC,Company Name,Asset Type,Sector,Currency
III,3I GROUP PLC,Equity,Financials,GBP
ADN,ABERDEEN ASSET MANAGEMENT PLC,Equity,Financials,GBP
ADM,ADMIRAL GROUP PLC,Equity,Financials,GBP
AAL,ANGLO AMERICAN PLC,Equity,Materials,GBP
ANTO,ANTOFAGASTA PLC,Equity,Materials,GBP
ARM,ARM HOLDINGS PLC,Equity,Information Technology,GBP
AHT,ASHTEAD GROUP PLC,Equity,Industrials,GBP
ABF,ASSOCIATED BRITISH FOODS PLC,Equity,Consumer Staples,GBP
AZN,ASTRAZENECA PLC,Equity,Health Care,GBP
AV.,AVIVA PLC,Equity,Financials,GBP
BAB,BABCOCK INTERNATIONAL GROUP PLC,Equity,Industrials,GBP
BA.,BAE SYSTEMS PLC,Equity,Industrials,GBP
BARC,BARCLAYS PLC,Equity,Financials,GBP
BDEV,BARRATT DEVELOPMENTS PLC,Equity,Consumer Discretionary,GBP
BG,BG GROUP PLC,Equity,Energy,GBP
BLT,BHP BILLITON PLC,Equity,Materials,GBP
BP,BP PLC,Equity,Energy,GBP
BATS,BRITISH AMERICAN TOBACCO PLC,Equity,Consumer Staples,GBP
BLND,BRITISH LAND CO PLC,Equity,Financials,GBP
BT.A,BT GROUP PLC,Equity,Telecommunications,GBP
BNZL,BUNZL PLC,Equity,Industrials,GBP
BRBY,BURBERRY GROUP PLC,Equity,Consumer Discretionary,GBP
CPI,CAPITA PLC,Equity,Industrials,GBP
CCL,CARNIVAL PLC,Equity,Consumer Discretionary,GBP
CNA,CENTRICA PLC,Equity,Utilities,GBP
CCH,COCA COLA HBC AG,Equity,Consumer Staples,GBP
CPG,COMPASS GROUP PLC,Equity,Consumer Discretionary,GBP
CRH,CRH PLC,Equity,Materials,GBP
DGE,DIAGEO PLC,Equity,Consumer Staples,GBP
DLG,DIRECT LINE INSURANCE PLC,Equity,Financials,GBP
DC.,DIXONS CARPHONE PLC,Equity,Consumer Discretionary,GBP
EZJ,EASYJET PLC,Equity,Industrials,GBP
EXPN,EXPERIAN PLC,Equity,Industrials,GBP
FRES,FRESNILLO PLC,Equity,Materials,GBP
GFS,G4S PLC,Equity,Industrials,GBP
GKN,GKN PLC,Equity,Consumer Discretionary,GBP
GSK,GLAXOSMITHKLINE PLC,Equity,Health Care,GBP
GLEN,GLENCORE PLC,Equity,Materials,GBP
HMSO,HAMMERSON REIT PLC,Equity,Financials,GBP
HL,HARGREAVES LANSDOWN PLC,Equity,Financials,GBP
HIK,HIKMA PHARMACEUTICALS PLC,Equity,Health Care,GBP
HSBA,HSBC HOLDINGS PLC,Equity,Financials,GBP
IMT,IMPERIAL TOBACCO GROUP PLC,Equity,Consumer Staples,GBP
ISAT,INMARSAT PLC,Equity,Telecommunications,GBP
IHG,INTERCONTINENTAL HOTELS GROUP PLC,Equity,Consumer Discretionary,GBP
IAG,INTERNATIONAL AIRLINES GROUP SA,Equity,Industrials,GBP
ITRK,INTERTEK GROUP PLC,Equity,Industrials,GBP
INTU,INTU PROPERTIES REIT PLC,Equity,Financials,GBP
ITV,ITV PLC,Equity,Consumer Discretionary,GBP
JMAT,JOHNSON MATTHEY PLC,Equity,Materials,GBP
KGF,KINGFISHER PLC,Equity,Consumer Discretionary,GBP
