Portfolio Identifier,EPIC,No of Shares,Buy/Sell,Transaction Date
101,III,593,Buy,2015-Q1
101,ADN,929,Buy,2015-Q1
101,ADM,124,Buy,2015-Q1
101,AAL,903,Buy,2015-Q1
101,ANTO,226,Buy,2015-Q1
101,ARM,881,Buy,2015-Q1
101,AHT,316,Buy,2015-Q1
101,ABF,216,Buy,2015-Q1
101,AZN,788,Buy,2015-Q1
101,AV.,2526,Buy,2015-Q1
101,BAB,318,Buy,2015-Q1
101,BA.,1969,Buy,2015-Q1
101,BARC,10341,Buy,2015-Q1
101,BDEV,621,Buy,2015-Q1
101,BG,22100,Buy,2015-Q1
101,BLT,1274,Buy,2015-Q1
101,BP,11333,Buy,2015-Q1
101,BATS,1189,Buy,2015-Q1
101,BLND,629,Buy,2015-Q1
101,BT.A,5217,Buy,2015-Q1
101,BNZL,210,Buy,2015-Q1
101,BRBY,277,Buy,2015-Q1
101,CPI,413,Buy,2015-Q1
101,CCL,112,Buy,2015-Q1
101,CNA,3096,Buy,2015-Q1
101,CCH,119,Buy,2015-Q1
101,CPG,1037,Buy,2015-Q1
101,CRH,501,Buy,2015-Q1
101,VOD,16957,Buy,2015-Q1
101,WEIR,134,Buy,2015-Q1
101,WTB,113,Buy,2015-Q1
101,WOS,163,Buy,2015-Q1
101,WPP,811,Buy,2015-Q1
102,III,593,Buy,2015-Q1
102,ADN,929,Buy,2015-Q1
102,ADM,124,Buy,2015-Q1
102,AAL,903,Buy,2015-Q1
102,ANTO,226,Buy,2015-Q1
102,ARM,881,Buy,2015-Q1
102,AHT,316,Buy,2015-Q1
102,ABF,216,Buy,2015-Q1
102,AZN,788,Buy,2015-Q1
102,AV.,2526,Buy,2015-Q1
102,BAB,318,Buy,2015-Q1
102,BA.,1969,Buy,2015-Q1
102,BARC,10341,Buy,2015-Q1
102,BDEV,621,Buy,2015-Q1
102,BG,22100,Buy,2015-Q1
102,BLT,1274,Buy,2015-Q1
102,BP,11333,Buy,2015-Q1
102,BATS,1189,Buy,2015-Q1
102,BLND,629,Buy,2015-Q1
102,BT.A,5217,Buy,2015-Q1
102,BNZL,210,Buy,2015-Q1
102,BRBY,277,Buy,2015-Q1
102,CPI,413,Buy,2015-Q1
102,CCL,112,Buy,2015-Q1
102,CNA,3096,Buy,2015-Q1
102,CCH,119,Buy,2015-Q1
102,CPG,1037,Buy,2015-Q1
102,CRH,501,Buy,2015-Q1
102,VOD,16957,Buy,2015-Q1
102,WEIR,134,Buy,2015-Q1
102,WTB,113,Buy,2015-Q1
102,WOS,163,Buy,2015-Q1
102,WPP,811,Buy,2015-Q1
103,III,593,Buy,2015-Q1
103,ADN,929,Buy,2015-Q1
103,ADM,124,Buy,2015-Q1
103,AAL,903,Buy,2015-Q1
103,ANTO,226,Buy,2015-Q1
103,ARM,881,Buy,2015-Q1
103,AHT,316,Buy,2015-Q1
103,ABF,216,Buy,2015-Q1
103,AZN,788,Buy,2015-Q1
103,AV.,2526,Buy,2015-Q1
